6,3,2,4,5,6,8,2,0,6,3,4,0,1,1
36,3,1,2,3,5,3,2,0,6,0,0,0,2,1
6,4,2,4,3,7,8,2,0,5,0,4,0,1,1
29,3,2,2,1,4,3,1,0,0,0,4,0,0,1
34,4,0,0,4,4,6,0,0,6,0,4,0,1,1
10,4,1,2,4,4,8,2,0,6,0,4,0,1,1
11,3,2,4,6,5,6,2,0,6,0,4,0,2,1
31,2,0,1,2,4,1,0,0,0,0,0,0,0,1
1,2,0,6,9,5,8,2,0,6,0,4,0,1,1
9,3,1,0,0,5,4,2,0,6,0,4,0,1,1
3,3,3,1,5,4,6,2,0,6,0,6,0,1,1
32,2,4,1,1,3,1,0,0,0,0,0,0,0,1
36,1,5,3,3,3,3,2,0,6,0,4,0,1,1
39,2,3,3,4,3,5,2,0,6,0,4,0,1,1
6,3,0,6,4,6,8,0,0,0,0,4,0,0,1
10,4,3,2,4,5,8,2,0,6,0,4,0,1,1
1,2,2,9,5,6,8,2,0,6,6,4,0,1,1
33,4,2,2,0,2,3,0,0,6,0,0,0,1,1
13,3,2,2,0,3,7,2,0,0,0,2,0,0,1
6,4,2,4,3,7,8,0,0,5,5,4,0,1,1
3,2,2,3,2,3,6,2,0,0,0,5,0,0,1
6,5,0,0,6,4,8,2,0,0,4,4,0,0,1
8,2,2,7,5,6,7,0,0,0,0,4,0,0,1
33,2,2,0,3,4,3,0,0,6,0,0,0,1,1
36,2,3,3,1,3,3,2,0,6,0,4,0,1,1
7,2,1,3,3,4,6,2,0,6,5,4,0,2,1
39,2,9,0,0,1,5,2,0,6,3,4,0,1,1
8,2,2,7,5,6,7,0,0,6,0,5,4,1,1
35,2,2,5,3,4,5,2,0,6,0,4,0,1,1
6,3,0,6,4,6,8,2,0,6,0,4,0,1,1
8,4,2,2,4,6,7,0,0,6,0,3,0,1,1
37,4,0,0,4,4,4,2,0,6,0,4,0,1,1
3,2,5,2,0,5,6,2,0,6,0,3,0,1,1
8,2,3,0,9,4,7,2,0,0,0,4,0,0,1
35,2,2,0,3,5,5,0,0,5,0,0,0,1,1
38,3,0,2,0,3,4,0,0,6,0,0,0,1,1
